,Adventure Market Share,Action Market Share,Drama Market Share,Comedy Market Share,Thriller-or-Suspense Market Share,Horror Market Share,Romantic-Comedy Market Share,Musical Market Share,Other Genres Market Share,Total Tickets,GDP % Growth,"% Income Annual Change, Chained Dollars"
1995,0.145,0.19699999999999998,0.287,0.19699999999999998,0.0621,0.0278,0.0559,0.0,0.028200000000000003,1221689691,2.6843,3.3
1996,0.223,0.21100000000000002,0.23399999999999999,0.18,0.053099999999999994,0.0195,0.07400000000000001,0.0004,0.004999999999999893,1305169274,3.7725,3.2
1997,0.138,0.22899999999999998,0.188,0.204,0.10099999999999999,0.0641,0.0467,0.0179,0.011299999999999977,1385218935,4.4472,3.7
1998,0.23800000000000002,0.14300000000000002,0.23199999999999998,0.11599999999999999,0.11599999999999999,0.047,0.0739,0.009899999999999999,0.0242,1443827003,4.4814,5.9
1999,0.21899999999999997,0.124,0.19899999999999998,0.184,0.0783,0.065,0.0984,0.0032,0.029100000000000015,1444664086,4.7532,3.3
2000,0.17600000000000002,0.168,0.23199999999999998,0.196,0.0759,0.049100000000000005,0.049699999999999994,0.0123,0.040999999999999925,1397460079,4.1275,5.0
2001,0.271,0.166,0.16399999999999998,0.17600000000000002,0.08070000000000001,0.046799999999999994,0.0633,0.0083,0.023900000000000032,1476216078,0.9983,2.7
2002,0.307,0.152,0.174,0.142,0.10300000000000001,0.0325,0.06269999999999999,0.0063,0.020500000000000074,1575754768,1.7417,3.0
2003,0.263,0.22899999999999998,0.12,0.195,0.0416,0.049,0.0542,0.0184,0.02980000000000005,1524299815,2.8612,2.7
2004,0.31,0.115,0.14800000000000002,0.18,0.08529999999999999,0.051,0.0701,0.0024,0.03820000000000001,1495647988,3.7989,3.3
2005,0.28300000000000003,0.159,0.161,0.207,0.0418,0.0667,0.05,0.0092,0.022299999999999986,1373215640,3.5132,1.6
2006,0.299,0.114,0.17,0.213,0.08070000000000001,0.0603,0.0374,0.0074,0.018199999999999994,1398738283,2.855,4.0
2007,0.29600000000000004,0.153,0.135,0.146,0.0812,0.07200000000000001,0.0751,0.026099999999999998,0.015599999999999836,1420036680,1.8762,2.3
2008,0.308,0.168,0.111,0.214,0.0786,0.031400000000000004,0.0339,0.026600000000000002,0.02850000000000008,1358041408,-0.1366,1.0
2009,0.264,0.191,0.172,0.134,0.0907,0.054900000000000004,0.0603,0.0036,0.02949999999999997,1418567388,-2.5368,-0.2
2010,0.305,0.172,0.161,0.131,0.0876,0.0506,0.0493,0.0167,0.026799999999999935,1328549023,2.5638,2.0
2011,0.27,0.21,0.146,0.146,0.0913,0.0397,0.056799999999999996,0.0083,0.03190000000000004,1282607161,1.5508,2.3
2012,0.267,0.201,0.151,0.115,0.146,0.032400000000000005,0.030899999999999997,0.02,0.036699999999999955,1381105820,2.2495,3.3
2013,0.266,0.222,0.122,0.14800000000000002,0.10300000000000001,0.042699999999999995,0.0181,0.032799999999999996,0.045399999999999996,1339141772,1.8421,-1.3
2014,0.264,0.253,0.159,0.125,0.0943,0.0248,0.025699999999999997,0.0245,0.02969999999999995,1257375344,2.452,4.1
2015,0.273,0.264,0.185,0.115,0.09759999999999999,0.0335,0.0066,0.0060999999999999995,0.019200000000000106,1323093963,2.8809,4.1
2016,0.369,0.21899999999999997,0.12,0.125,0.063,0.043,0.0121,0.022099999999999998,0.026800000000000046,1301317181,1.5672,1.8
2017,0.244,0.3,0.12,0.0713,0.0634,0.09449999999999999,0.0078000000000000005,0.0809,0.018100000000000005,1225554064,2.217,2.9
2018,0.24600000000000002,0.341,0.134,0.0721,0.0513,0.0754,0.020099999999999996,0.0349,0.02519999999999989,1310771801,2.8569999999999998,4.0
